Tariff item number,,,Description of goods,Product specific rules
,85.11,,"Electrical ignition or starting equipment of a kind used for
 spark-ignition or
 compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, sparking plugs and glow plugs, starter motors); generators (for example, dynamos, alternators) and cut-outs of a kind used in conjunction with such engines.",
,,8511.1,- Sparking plugs,LVC 40% or CTSH
,,8511.2,- Ignition magnetos; magneto-dynamos; magnetic flywheels,LVC 40% or CTSH
,,8511.3,- Distributors; ignition coils,LVC 40% or CTSH
,,8511.4,- Starter motors and dual purpose starter-generators,LVC 40% or CTSH
,,8511.5,- Other generators,LVC 40% or CTSH
,,8511.8,- Other equipment,LVC 40% or CTSH
,85.12,,"Electrical lighting or signaling equipment (excluding articles of heading 85.39), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles.",
,,8512.1,- Lighting or visual signaling equipment of a kind used on bicycles,LVC 40% or CTSH
,,,,
,,8512.2,"- Other lighting or visual signaling
 equipment",LVC 40% or CTSH
,,8512.3,- Sound signaling equipment,LVC 40% or CTSH
,,8512.4,"- Windscreen wipers, defrosters and
 demisters",LVC 40% or CTSH
,85.13,,"Portable electric lamps designed to function by their own source of energy
 (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12.",
,,8513.1,- Lamps,LVC 40% or CTSH
,85.14,,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss.,
,,8514.1,- Resistance heated furnaces and ovens,LVC 40% or CTSH
,,8514.2,- Furnaces and ovens functioning by induction or dielectric loss,LVC 40% or CTSH
,,8514.3,- Other furnaces and ovens,LVC 40% or CTSH
,,8514.4,- Other equipment for the heat treatment of materials by induction or dielectric loss,LVC 40% or CTSH
,85.15,,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric machines and apparatus for hot spraying of metals or cermets.",
,,,- Brazing or soldering machines and apparatus:,
,,8515.11,-- Soldering irons and guns,LVC 40% or CTSH
,,8515.19,-- Other,LVC 40% or CTSH
,,,- Machines and apparatus for resistance welding of metals:,
,,8515.21,-- Fully or partly automatic,LVC 40% or CTSH
,,8515.29,-- Other,LVC 40% or CTSH
,,,- Machines and apparatus for arc (including plasma arc) welding of metal:,
,,8515.31,-- Fully or partly automatic,LVC 40% or CTSH
,,8515.39,-- Other,LVC 40% or CTSH
,,8515.8,- Other machines and apparatus,LVC 40% or CTSH
,85.16,,Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic,
,,,,
,,,"hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purpose; electric heating resistors, other than those of heading 85.45.",
,,8516.1,- Electric instantaneous or storagewater heaters and immersion heaters,LVC 40% or CTSH
,,,- Electric space heating apparatus and electric soil heating apparatus:,
,,8516.21,-- Storage heating radiators,LVC 40% or CTSH
,,8516.29,-- Other,LVC 40% or CTSH
,,,- Electric-thermic hair-dressing or hand-drying apparatus:,
,,8516.31,-- Hair dryers,LVC 40% or CTSH
,,8516.32,-- Other hair-dressing apparatus,LVC 40% or CTSH
,,8516.33,-- Hand-drying apparatus,LVC 40% or CTSH
,,8516.4,- Electric smoothing irons,LVC 40% or CTSH
,,8516.5,- Microwave ovens,LVC 40% or CTSH
,,8516.6,"- Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",LVC 40% or CTSH
,,,- Other electric-thermic appliances:,
,,8516.71,-- Coffee or tea makers,LVC 40% or CTSH
,,8516.72,-- Toasters,LVC 40% or CTSH
,,8516.79,-- Other,LVC 40% or CTSH
,,8516.8,- Electric heating resistors,LVC 40% or CTSH
,85.17,,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.",
,,,"- Telephone sets, includingtelephones for cellular networks or for other wireless networks:",
,,8517.11,"-- Line telephone sets with cordless
 handsets",LVC 40% or CTSH
,,8517.12,-- Telephones for cellular networks or for other wireless networks,LVC 40% or CTSH
,,8517.18,-- Other,LVC 40% or CTSH
,,,"- Other apparatus for transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network):",
,,8517.61,-- Base stations,LVC 40% or CTSH
,,,,
,,8517.62,"-- Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",LVC 40% or CTSH
,,8517.69,-- Other,LVC 40% or CTSH
,85.18,,"Microphones and stands therefor, loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.",
,,8518.1,- Microphone and stands therefor,LVC 40% or CTSH
,,,"- Loudspeakers, whether or not mounted in their enclosures:",
,,8518.21,"-- Single loudspeakers, mounted in their enclosures",LVC 40% or CTSH
,,8518.22,"-- Multiple loudspeakers, mounted in the same enclosure",LVC 40% or CTSH
,,8518.29,-- Other,LVC 40% or CTSH
,,8518.3,"- Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",LVC 40% or CTSH
,,8518.4,- Audio-frequency electric amplifiers,LVC 40% or CTSH
,,8518.5,- Electric sound amplifier sets,LVC 40% or CTSH
,85.23,,"Discs, tapes, solid-state non-volatile storage devices, “smart cards” and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters forthe production of discs, but excluding products of Chapter 37.",
,,,- Semiconductor media:,
,,8523.51,"-- Solid-state non-volatile storage
 devices",LVC 40% or CTH except from heading 85.42.
,,8523.52,-- “Smart cards”,LVC 40% or CTH except from heading 85.42.
,,8523.59,-- Other,LVC 40% or CTH except from heading 85.42.
,85.3,,"Electric signaling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields (other than those of heading 86.08).",
,,,,
,,8530.1,- Equipment for railways or tramways,LVC 40% or CTSH
,,8530.8,- Other equipment,LVC 40% or CTSH
,85.31,,"Electric sounds or visual signaling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 85.12 or 85.30.",
,,8531.1,"- Burglar or fire alarms and similar
 apparatus",LVC 40% or CTSH
,,8531.2,- Indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes (LED),LVC 40% or CTSH
,,8531.8,- Other apparatus,LVC 40% or CTSH
,85.32,,"Electrical capacitors, fixed, variable or adjustable (pre-set).",
,,8532.1,"- Fixed capacitors designed for use in 50/60 Hz circuits andhaving a reactive power handling capacity of not less than
 0.5 kvar (power capacitors)",LVC 40% or CTSH
,,,- Other fixed capacitors:,
,,8532.21,-- Tantalum,LVC 40% or CTSH
,,8532.22,-- Aluminum electrolytic,LVC 40% or CTSH
,,8532.23,"-- Ceramic dielectric, single layer",LVC 40% or CTSH
,,8532.24,"-- Ceramic dielectric, multilayer",LVC 40% or CTSH
,,8532.25,-- Dielectric of paper or plastics,LVC 40% or CTSH
,,8532.29,-- Other,LVC 40% or CTSH
,,8532.3,"- Variable or adjustable (pre-set)
 capacitors",LVC 40% or CTSH
,85.33,,"Electrical resistors (including rheostats and potentiometers), other than heating resistors.",
,,8533.1,"- Fixed carbon resistors, composition or film types",LVC 40% or CTSH
,,,- Other fixed resistors:,
,,8533.21,-- For a power handling capacity not exceeding 20 W,LVC 40% or CTSH
,,8533.29,-- Other,LVC 40% or CTSH
,,,"- Wirewound variable resistors, including rheostats and potentiometers:",
,,8533.31,-- For a power handling capacity not exceeding 20 W,LVC 40% or CTSH
,,8533.39,-- Other,LVC 40% or CTSH
,,8533.4,"- Other variable resistors, including rheostats and potentiometers",LVC 40% or CTSH
,85.36,,"Electrical apparatus for switching or protecting electricalcircuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders and other connectors, junction boxes), for a",LVC 40% or CTSH
,,,,
,,,"voltage not exceeding 1,000 volts; connectors for optical fibers, optical fiber bundles or cables.",
,85.39,,"Electric filament or discharge lamps, including sealed beam lamp units and ultra-violet or infra-red lamps; arc-lamps.",
,,8539.1,- Sealed beam lamp units,LVC 40% or CTSH
,,,"- Other filament lamps, excluding ultra-violet or infra-red lamps:",
,,8539.21,-- Tungsten halogen,LVC 40% or CTSH
,,8539.22,"-- Other, of a power not exceeding
 200 W and for a voltage exceeding
 100 V",LVC 40% or CTSH
,,8539.29,-- Other,LVC 40% or CTSH
,,,"- Discharge lamps, other than ultra-violet lamps:",
,,8539.31,"-- Fluorescent, hot cathode",LVC 40% or CTSH
,,8539.32,-- Mercury or sodium vapor lamps; metal halide lamps,LVC 40% or CTSH
,,8539.39,-- Other,LVC 40% or CTSH
,,,- Ultra-violet or infra-red lamps; arc-lamps:,
,,8539.41,-- Arc-lamps,LVC 40% or CTSH
,,8539.49,-- Other,LVC 40% or CTSH
,85.4,,"Thermionic, cold cathode or photo-cathode valves and tubes (for example, vacuum or vapor or gas filled valves and tubes, mercury arc rectifying valves and tubes, cathode-ray tubes, television camera tubes).",
,,,"- Cathode-ray television picture tubes, including video monitor cathode-ray tubes:",
,,8540.11,-- Color,LVC 40% or CTSH
,,8540.12,-- Black and white or other monochrome,LVC 40% or CTSH
,,8540.2,"- Television camera tubes; image converters and intensifiers; other
 photo-cathode tubes",LVC 40% or CTSH
,,8540.4,"- Data/graphic display tubes, color, with a phosphor dot screen pitch smaller than 0.4 mm",LVC 40% or CTSH
,,8540.5,"- Data/graphic display tubes, black and white or other monochrome",LVC 40% or CTSH
,,8540.6,- Other cathode-ray tubes,LVC 40% or CTSH
,,,"- Microwave tubes (for example, magnetrons, klystrons, traveling wave tubes, carcinotrons), excluding grid-controlled tubes:",
,,8540.71,-- Magnetrons,LVC 40% or CTSH
,,8540.72,-- Klystrons,LVC 40% or CTSH
,,,,
,,8540.79,-- Other,LVC 40% or CTSH
,,,- Other valves and tubes:,
,,8540.81,"-- Receiver or amplifier valves and
 tubes",LVC 40% or CTSH
,,8540.89,-- Other,LVC 40% or CTSH
,85.41,,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes; mounted piezo-electric crystals.",
,,8541.1,"- Diodes, other than photosensitive or light emitting diodes",LVC 40% or CTSH
,,,"- Transistors, other than photosensitive transistors:",
,,8541.21,-- With a dissipation rate of less than 1 W,LVC 40% or CTSH
,,8541.29,-- Other,LVC 40% or CTSH
,,8541.3,"- Thyristors, diacs and triacs, other than photosensitive devices",LVC 40% or CTSH
,,8541.4,"- Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes",LVC 40% or CTSH
,,8541.5,- Other semiconductor devices,LVC 40% or CTSH
,,8541.6,- Mounted piezo-electric crystals,LVC 40% or CTSH
,85.42,,Electronic integrated circuits.,
,,,- Electronic integrated circuits:,
,,8542.31,"-- Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","LVC 40% or CTSH except from subheading 8542.32 through
 8542.39."
,,8542.32,-- Memories,"LVC 40% or CTSH except from subheading
 8542.31,
 8542.33 or
 8542.39."
,,8542.33,-- Amplifiers,"LVC 40% or CTSH except from subheading
 8542.31,
 8542.32 or
 8542.39."
,,8542.39,-- Other,LVC 40% or CTSH except from subheading 8542.31
,,,,
,,,,through 8542.33.
,85.43,,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter.",
,,8543.1,- Particle accelerators,LVC 40% or CTSH
,,8543.2,- Signal generators,LVC 40% or CTSH
,,8543.3,"- Machines and apparatus for electroplating, electrolysis or
 electrophoresis",LVC 40% or CTSH
,,8543.7,- Other machines and apparatus,LVC 40% or CTSH
,85.48,,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators; electrical parts of machinery or apparatus, not specified or includedelsewhere in this Chapter.",
,,8548.1,"- Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent
 electric accumulators",WO
"Section XVII Vehicles, aircraft, vessels and associated transport equipment (Chapter 86-89)",,,,
Chapter 87,,,"Vehicles other than railway or tramway rolling-stock, and parts and
 accessories thereof",
,87.02,,"Motor vehicles for the transport of ten or more persons, including the driver.",LVC 40%
,87.03,,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",LVC 40%
,87.04,,Motor vehicles for the transport of goods.,LVC 40%
,87.05,,"Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example, breakdown lorries, crane lorries, fire fighting vehicles, concrete-mixer lorries, road sweeper lorries, spraying lorries, mobile workshops, mobile radiological units).",LVC 40%
,87.06,8706,"Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",LVC 40%
,87.07,,"Bodies (including cabs), for the motor vehicles of headings 87.01 to 87.05.",LVC 40%
,,,,
,87.09,,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used in factories, warehouses, dock areas or airports for short distance transport of goods; tractors of the type used on railway station platforms; parts of the foregoing vehicles.",LVC 40%
,87.1,8710,"Tanks and other armored fighting vehicles, motorized, whether or not fitted with weapons, and parts of such vehicles.",LVC 40%
,87.16,,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof.",
,,8716.1,"- Trailers and semi-trailers of the caravan type, for housing or camping",LVC 40% or CTSH
,,8716.2,"- Self-loading or self-unloading trailers and semi-trailers for
 agricultural purposes",LVC 40% or CTSH
,,,- Other trailers and semi-trailers for the transport of goods:,
,,8716.31,-- Tanker trailers and tanker semi-trailers,LVC 40% or CTSH
,,8716.39,-- Other,LVC 40% or CTSH
,,8716.4,- Other trailers and semi-trailers,LVC 40% or CTSH
,,8716.8,- Other vehicles,LVC 40% or CTSH
Chapter 89,,,"Ships, boats and floating structures",LVC 40% or CC
"Section XVIII Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof (Chapter 90-92)",,,,
Chapter 90,,,"Optical, photographic,
 cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and
 accessories thereof",
,90.01,,"Optical fibers and optical fiber bundles; optical cables other than those of heading 85.44; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted other than such elements of glass not optically worked.",LVC 40% or CC
,90.03,,"Frames and mountings for spectacles, goggles or the like, and parts thereof.",
,,,- Frames and mountings:,
,,9003.11,-- Of plastics,LVC 40% or CTSH
,,9003.19,-- Of other materials,LVC 40% or CTSH
,90.05,,"Binoculars, monoculars, other optical telescopes, and mountings therefor; other astronomical instruments and",
,,,,
,,,"mountings therefor, but not including instruments for radio-astronomy.",
,,9005.1,- Binoculars,LVC 40% or CTSH
,,9005.8,- Other instruments,LVC 40% or CTSH
,90.06,,"Photographic (other than cinematographic) cameras;
 photographic flashlight apparatus and flashbulbs other than discharge lamps of heading 85.39.",
,,9006.1,- Cameras of a kind used for preparing printing plates or cylinders,LVC 40% or CTSH
,,9006.3,"- Cameras specially designed for underwater use, for aerial survey or for medical or surgical examination of internal organs; comparison cameras for forensic or criminological purposes",LVC 40% or CTSH
,,9006.4,- Instant print cameras,LVC 40% or CTSH
,,,- Other cameras:,
,,9006.51,"-- With a through-the-lens viewfinder (single lens reflex (SLR)), for roll film of a width not exceeding 35 mm",LVC 40% or CTSH
,,9006.52,"-- Other, for roll film of a width less than 35 mm",LVC 40% or CTSH
,,9006.53,"-- Other, for roll film of a width of 35 mm",LVC 40% or CTSH
,,9006.59,-- Other,LVC 40% or CTSH
,,,- Photographic flashlight apparatus and flashbulbs:,
,,9006.61,-- Discharge lamp (“electronic”) flashlight apparatus,LVC 40% or CTSH
,,9006.69,-- Other,LVC 40% or CTSH
,90.07,,"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus.",
,,,- Cameras:,
,,9007.11,-- For films of less than 16 mm width or for double-8 mm film,LVC 40% or CTSH
,,9007.19,-- Other,LVC 40% or CTSH
,,9007.2,- Projectors,LVC 40% or CTSH
,90.08,,"Image projectors, other than cinematographic; photographic (other than cinematographic) enlargers and reducers.",
,,9008.1,- Slide projectors,LVC 40% or CTSH
,,9008.2,"- Microfilm, microfiche or other microform readers, whether or not capable of producing copies",LVC 40% or CTSH
,,9008.3,- Other image projectors,LVC 40% or CTSH
,,9008.4,- Photographic (other than cinematographic) enlargers and reducers,LVC 40% or CTSH
,,,,
,90.1,,"Apparatus and equipment for photographic (including
 cinematographic) laboratories, not specified or included elsewherein this Chapter; negatoscopes; projection screens.",
,,9010.1,"- Apparatus and equipment for automatically developing photographic (including cinematographic) film or paper in rolls or for automatically exposing developed film to rolls of
 photographic paper",LVC 40% or CTSH
,,9010.5,"- Other apparatus and equipment for photographic (including cinematographic) laboratories;
 negatoscopes",LVC 40% or CTSH
,,9010.6,- Projection screens,LVC 40% or CTSH
,90.11,,"Compound optical microscopes, including those for photomicrography, cinephotomicrography or microprojection.",
,,9011.1,- Stereoscopic microscopes,LVC 40% or CTSH
,,9011.2,"- Other microscopes, for photomicrography, cinephotomicrography or
 micropeojection",LVC 40% or CTSH
,,9011.8,- Other microscopes,LVC 40% or CTSH
,90.12,,Microscopes other than optical microscopes; diffraction apparatus.,
,,9012.1,- Microscopes other than optical microscopes; diffraction apparatus,LVC 40% or CTSH
,90.13,,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this Chapter.",
,,9013.1,"- Telescope sights for fitting to arms; periscopes; telescopes designed to form parts of machines, appliances, instruments or apparatus of this Chapter or Section XVI",LVC 40% or CTSH
,,9013.2,"- Lasers, other than laser diodes",LVC 40% or CTSH
,,9013.8,"- Other devices, appliances and instruments",LVC 40% or CTSH
,90.14,,Direction finding compasses; other navigational instruments and appliances.,
,,9014.1,- Direction finding compasses,LVC 40% or CTSH
,,9014.2,- Instruments and appliances for aeronautical or space navigation (other than compasses),LVC 40% or CTSH
,,,,
,,9014.8,- Other instruments and appliances,LVC 40% or CTSH
,90.15,,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses; rangefinders.",
,,9015.1,- Rangefinders,LVC 40% or CTSH
,,9015.2,- Theodolites and tachymeters (tacheometers),LVC 40% or CTSH
,,9015.3,- Levels,LVC 40% or CTSH
,,9015.4,- Photogrammetrical surveying instruments and appliances,LVC 40% or CTSH
,,9015.8,- Other instruments and appliances,LVC 40% or CTSH
,90.17,,"Drawing, marking-out or mathematical calculating instruments (for example, drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators); instruments for measuring length, for use in the hand (for example, measuring rods and tapes, micrometers, calipers), not specified or included elsewhere in this Chapter.",
,,9017.1,"- Drafting tables and machines, whether or not automatic",LVC 40% or CTSH
,,9017.2,"- Other drawing, marking-out or mathematical calculating instruments",LVC 40% or CTSH
,,9017.3,"- Micrometers, calipers and gauges",LVC 40% or CTSH
,,9017.8,- Other instruments,LVC 40% or CTSH
,90.18,,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments.",
,,9018.2,"- Ultra-violet or infra-red ray
 apparatus",LVC 40% or CTSH
,,,"- Syringes, needles, catheters, cannulae and the like:",
,,9018.31,"-- Syringes, with or without needles",LVC 40% or CTSH
,,9018.32,-- Tubular metal needles and needles for sutures,LVC 40% or CTSH
,,9018.39,-- Other,LVC 40% or CTSH
,90.22,,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, control panels and desks, screens, examination or",
,,,,
,,,"treatment tables, chairs and the like.",
,,,"- Apparatus based on the use of X-rays, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus:",
,,9022.12,-- Computed tomography apparatus,LVC 40% or CTSH
,,9022.13,"-- Other, for dental uses",LVC 40% or CTSH
,,9022.14,"-- Other, for medical, surgical or veterinary uses",LVC 40% or CTSH
,,9022.19,-- For other uses,LVC 40% or CTSH
,,,"- Apparatus based on the use of alpha, beta or gammaradiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus:",
,,9022.21,"-- For medical, surgical, dental or veterinary uses",LVC 40% or CTSH
,,9022.29,-- For other uses,LVC 40% or CTSH
,,9022.3,- X-ray tubes,LVC 40% or CTSH
,90.24,,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics).",
,,9024.1,- Machines and appliances for testing metals,LVC 40% or CTSH
,,9024.8,- Other machines and appliances,LVC 40% or CTSH
,90.25,,"Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers, recording or not,
 and any combination of these instruments.",
,,,"- Thermometers and pyrometers, not combined with other instruments:",
,,9025.11,"-- Liquid-filled, for direct reading",LVC 40% or CTSH
,,9025.19,-- Other,LVC 40% or CTSH
,,9025.8,- Other instruments,LVC 40% or CTSH
,90.26,,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 90.14, 90.15, 90.28 or 90.32.",
,,9026.1,- For measuring or checking the flow or level of liquids,LVC 40% or CTSH
,,9026.2,- For measuring or checking pressure,LVC 40% or CTSH
,,9026.8,- Other instruments or apparatus,LVC 40% or CTSH
,90.27,,"Instruments and apparatus for physical or chemical analysis (for example,",
,,,,
,,,"polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or the like; instruments and apparatus for measuring or checking quantities of heat, sound or light (including exposure meters); microtomes.",
,,9027.1,- Gas or smoke analysis apparatus,LVC 40% or CTSH
,,9027.2,"- Chromatographs and electrophoresis
 instruments",LVC 40% or CTSH
,,9027.3,"- Spectrometers, spectrophotometers and spectrographs using optical radiations (UV, visible, IR)",LVC 40% or CTSH
,,9027.5,"- Other instruments and apparatus using optical radiations (UV, visible, IR)",LVC 40% or CTSH
,,9027.8,- Other instruments and apparatus,LVC 40% or CTSH
,90.28,,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor.",
,,9028.1,- Gas meters,LVC 40% or CTSH
,,9028.2,- Liquid meters,LVC 40% or CTSH
,,9028.3,- Electricity meters,LVC 40% or CTSH
,90.29,,"Revolution counters, production counters, taximeters, mileometers, pedometers and the like; speed indicators and tachometers, other than those of heading 90.14 or 90.15; stroboscopes.",
,,9029.1,"- Revolution counters, production counters, taximeters, mileometers,
 pedometers and the like",LVC 40% or CTSH
,,9029.2,- Speed indicators and tachometers; stroboscopes,LVC 40% or CTSH
,90.3,,"Oscilloscopes, spectrum analyzers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading 90.28; instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray, cosmic or other ionizing radiations.",
,,9030.1,"- Instruments and apparatus for measuring or detecting ionizing
 radiations",LVC 40% or CTSH
,,9030.2,- Oscilloscopes and oscillographs,LVC 40% or CTSH
,,,"- Other instruments and apparatus, for measuring or checking voltage, current, resistance or power:",
,,9030.31,"-- Multimeters without a recording
 device",LVC 40% or CTSH
,,,,
,,9030.32,-- Multimeters with a recording device,LVC 40% or CTSH
,,9030.33,"-- Other, without a recording device",LVC 40% or CTSH
,,9030.39,"-- Other, with a recording device",LVC 40% or CTSH
,,9030.4,"- Other instruments and apparatus, specially designed for telecommunications (for example, cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)",LVC 40% or CTSH
,,,- Other instruments and apparatus:,
,,9030.82,-- For measuring or checking semiconductor wafers or devices,LVC 40% or CTSH
,,9030.84,"-- Other, with a recording device",LVC 40% or CTSH
,,9030.89,-- Other,LVC 40% or CTSH
,90.31,,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter; profile projectors.",
,,9031.1,"- Machines for balancing mechanical
 parts",LVC 40% or CTSH
,,9031.2,- Test benches,LVC 40% or CTSH
,,,- Other optical instruments and appliances:,
,,9031.41,"-- For inspecting semiconductor wafers or devices for inspecting photomasks or reticles used in manufacturing
 semiconductor devices",LVC 40% or CTSH
,,9031.49,-- Other,LVC 40% or CTSH
,,9031.8,"- Other instruments, appliances and
 machines",LVC 40% or CTSH
,90.32,,Automatic regulating or controlling instruments and apparatus.,
,,9032.1,- Thermostats,LVC 40% or CTSH
,,9032.2,- Manostats,LVC 40% or CTSH
,,,- Other instruments and apparatus:,
,,9032.81,-- Hydraulic or pneumatic,LVC 40% or CTSH
,,9032.89,-- Other,LVC 40% or CTSH
Chapter 91,,,Clocks and watches and parts thereof,
,91.11,,Watch cases and parts thereof.,
,,9111.1,- Cases of precious metal or of metal clad with precious metal,LVC 40% or CTSH
,,9111.2,"- Cases of base metal, whether or not gold- or silver-plated",LVC 40% or CTSH
,,9111.8,- Other cases,LVC 40% or CTSH
,91.12,,"Clock cases and cases of a similar type for other goods of this Chapter, and parts thereof.",
,,9112.2,- Cases,LVC 40% or CTSH
,91.13,,"Watch straps, watch bands and watch bracelets, and parts thereof.",
,,9113.9,"- Other
 Note: Other than watch straps, watch",CC
,,,,
,,,"bands and watch bracelets, and parts, of precious metal or of metal clad with precious metal, and of base metal, whether or not gold- or silver-plated.",
Section XX Miscellaneous manufactured articles (Chapter 94-96),,,,
Chapter 94,,,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or
 included; illuminated signs, illuminated name-plates and the like; prefabricated buildings",
,94.01,,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",
,,9401.1,- Seats of a kind used for aircraft,LVC 40% or CTSH
,,9401.2,- Seats of a kind used for motor vehicles,LVC 40% or CTSH
,,9401.3,"- Swivel seats with variable height
 adjustment",LVC 40% or CTSH
,,9401.4,"- Seats other than garden seats or camping equipment, convertible into beds",LVC 40% or CTSH
,,,"- Seats of cane, osier, bamboo or similar materials:",
,,9401.51,-- Of bamboo or rattan,LVC 40% or CTSH
,,9401.59,-- Other,LVC 40% or CTSH
,,,"- Other seats, with wooden frames:",
,,9401.61,-- Upholstered,LVC 40% or CTSH
,,9401.69,-- Other,LVC 40% or CTSH
,,,"- Other seats, with metal frames:",
,,9401.71,-- Upholstered,LVC 40% or CTSH
,,9401.79,-- Other,LVC 40% or CTSH
,,9401.8,- Other seats,LVC 40% or CTSH
,,9401.9,- Parts,CC
,94.02,,"Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating movements; parts of the foregoing articles.",LVC 40% or CC
,94.03,,Other furniture and parts thereof.,
,,9403.1,"- Metal furniture of a kind used in
 offices",LVC 40% or CTSH
,,9403.2,- Other metal furniture,LVC 40% or CTSH
,,9403.3,"- Wooden furniture of a kind used in
 offices",LVC 40% or CTSH
,,9403.4,- Wooden furniture of a kind used in the kitchen,LVC 40% or CTSH
,,,,
,,9403.5,- Wooden furniture of a kind used in the bedroom,LVC 40% or CTSH
,,9403.6,- Other wooden furniture,LVC 40% or CTSH
,,9403.7,- Furniture of plastics,LVC 40% or CTSH
,,,"- Furniture of other materials, including cane, osier, bamboo or similar materials:",
,,9403.81,-- Of bamboo or rattan,LVC 40% or CTSH
,,9403.89,-- Other,LVC 40% or CTSH
